country,code,frenchCountry,score,title,category,type,,secteur,cible,coordX,coordY,logo,when,where,who,url,img,what
United States of America,US,Etats-Unis,7,Dynamo Neo Blog,Decryptage,Forum,7,Technique,Jeunes/Adultes,,,https://marionchauloux.files.wordpress.com/2016/03/logo-dynamo-bla-bla-copie.png,24/03/17,"Philadelphia, USA? ","Le blog d'une Agence de Com
Manon SAINTOT, Animatrice de communaut?s chez Dynamo N?ocom ", https://strategie-et-marketing.com/2017/03/24/trolls-fake-news-desinformation-quel-impact-sur-la-societe/,https://marionchauloux.files.wordpress.com/2017/03/fake-1909821_960_720.jpg,"Un article de décryptage de l'information, qui liste également les types de fakenews."
France,FR,France,18,Fawkes News,Decryptage,Forum,7,Actualité,Adultes,,,,15/02/17,France ,"Blog Fawkes News, @Guy_Fawkes_News ",http://www.fawkes-news.com/2018/08/eu-disinfolab-quand-la-lutte-contre-les.html ,https://3.bp.blogspot.com/-StelMmAsTdc/W3FD3sPxQ7I/AAAAAAAAVgE/s1G_8k6flTAK0cprGK7_nANWCvyW_xrbACK4BGAYYCw/s400/cp-les-crises-disinfolab-2.jpg,Parti pris sur des sujets qui font polémiques sur les RS. Sujets internationaux. Des faits sont dénoncés sans citer aucune source. Sans intérêt au niveau de la lutte contre les Fake News.
Canada,CA,Canada,1,Real or Fake ,Decryptage,Game ,16,,,,,https://kids.nationalgeographic.com/etc/designs/kids/_jcr_content/home/navbar/logo.ngsversion.5bb419dd.img.png/1399495763637.png ,21/02/18,Canada ,National Geographic Kids ,https://kids.nationalgeographic.com/videos/real-or-fake/#real_or_fake__ep_1.mp4 ,https://kids.nationalgeographic.com//content/dam/natgeo/video/mpx/kids/r/re/rea/real-or-fake--ep-1.ngsversion.1538941317586.mp4/jcr:content/renditions/cq5dam.thumbnail.140.100.png ,Événement organisé dans le cadre d'une fête foraine pour sensibiliser les plus jeunes aux idées reçues.
United States of America,US,Etats-Unis,7,Factitious Game ,Decryptage,Game ,16,Actualité,Jeunes,,,http://factitious.augamestudio.com/assets/icons/fact2018-errata/workmarkBig.svg ,19/08/18,"Washington, USA ","Game Lab University Washington, d\""apr?s une id?e originale de Maggie Farley Journaliste ",http://factitious.augamestudio.com/#/ ,https://proxy.duckduckgo.com/iur/?f=1&image_host=http%3A%2F%2Fs.newsweek.com%2Fsites%2Fwww.newsweek.com%2Ffiles%2Fstyles%2Fembed-lg%2Fpublic%2F2017%2F07%2F04%2Ffactitious-fake-news-game.jpg&u=https://www.newsweek.com/sites/www.newsweek.com/files/styles/embed-lg/public/2017/07/04/factitious-fake-news-game.jpg ,Vrai faux basés sur Tender. Une information est proposée et il faut la juger vrai ou fausse en fonction de la source. Très efficace pour appuyer l'importance de la source.
France,FR,France,20,Escape Game Fake News,Decryptage,Game ,16,Actualité,Jeunes,,,http://www.upmc.fr/skins/UPMC/templates/index/resources/img/upmc-logotype.gif,21/11/17,France ,Licence UPMC,Hellink escape,https://www.studio-m.fr/sites/default/files/inline-images/escape%2010.jpg,"Expérience pour étudiant, l'escape game Hellink, un jeu grandeur nature, les Étudiants apprennent à maîtriser les 10 règles d'or de l'information et les appliquent à des cas concrets.
"
Netherlands,NL,Pays-Bas,1,Bad News ,Decryptage,Game ,16,Actualité,Jeunes/Adultes,,,https://www.getbadnews.com/wp-content/themes/getbadnews/static/assets/logo-mobile.png ,21/02/18,Pays-bas ,"DROG d?veloppe des programmes et des cours et m?ne des recherches visant ? reconna?tre la d?sinformation, en particulier en ligne. ",https://getbadnews.com/#intro ,https://cdn.vox-cdn.com/thumbor/5vjZAYmPtADiwYFj-xzMt_np_aw=/0x0:1043x681/920x613/filters:focal(456x224:622x390)/cdn.vox-cdn.com/uploads/chorus_image/image/58772853/Screen_Shot_2018_02_21_at_2.16.22_PM.0.png ,Le jeu est destiné à être utilisé dans l'éducation et la recherche scientifique. Dans ce jeu l'utilisateur incarne un journaliste sans scrupule dont l'objectif est d'avoir le plus d'abonnés possible. 
Sweden,SE,Suède,1,Fakeittomakeitgame ,Decryptage,Game ,16,Économique,Jeunes/Adultes,,,https://www.fakeittomakeitgame.com/images/wide_game_logo.png ,26/03/17,Suede ,Amanda Warner ,https://www.fakeittomakeitgame.com/ ,https://cdn.vox-cdn.com/thumbor/d7GB4mbwEr6OB9K-qAx6kIH8asc=/0x0:1223x582/920x613/filters:focal(303x170:497x364)/cdn.vox-cdn.com/uploads/chorus_image/image/53916251/Screen_Shot_2017_03_27_at_9.33.53_AM.0.png ,"Le but du jeu est d'identifier les techniques couramment utilisées lors de la fabrication et de la diffusion de fausses informations, comprendre comment les fausses nouvelles sont écrites et distribuées faire appel à des émotions spécifiques (peur, col?re, etc.) biais de confirmation. Un jeu intelligent."
France,FR,France,20,Manuel d'auto-d?fense intellectuelle,Decryptage,Livre,6,Actualité,,,,https://www.facebook.com/Manuel-dautod%C3%A9fense-intellectuelle-924459200941078/,Depuis 2007,"Saint-denis, France","Sophie Mazet
Jeune enseignante en Anglais, lyc?e ZEP ? Saint denis.",hhttps://www.facebook.com/Manuel-dautod%C3%A9fense-intellectuelle-924459200941078/tps://www.nextinpact.com/brief/creer-une-fake-news-sur-facebook--c-est-aussi-simple-que-de-depenser-50---691.htm,https://scontent-cdg2-1.xx.fbcdn.net/v/t31.0-8/12247902_924468650940133_6613634013841327241_o.jpg?_nc_cat=103&_nc_ht=scontent-cdg2-1.xx&oh=3ad5e68bd0da1347bf167dd5c500e0ef&oe=5C7B06FB,"Composé de neuf leçons, ce guide propose d'apprendre à décrypter toutes les formes de discours dont la visée est bien souvent de nous rouler dans la farine : du discours politique au discours bio-écolo-équitable, en passant par le langage publicitaire, les discours des médias d'information, des séries télé, des conspirationnistes, des pseudo-sciences ou des extrémistes de tout poil. Un ouvrage drôle, accessible et intelligent à l'usage des jeunes générations, mais aussi de ceux qui souhaitent remettre l'esprit critique à l'honneur et combattre efficacement propagande, langue de bois, intox, raccourcis, amalgames, fausses rumeurs et psychoses en tout genre."""
France,FR,France,20,FRAGIL,Decryptage,Outils,7,Actualité,Adultes,,,https://fragil.org/wp-content/uploads/2016/04/LogoFragil-e1466600445531.jpg,15/04/16,"Nantes, France ","Fragil, projet associatif, M?dias, Culture, Education",https://www.fragil.org/atelier-de-decryptage-des-fakenews/,https://www.fragil.org/wp-content/uploads/2018/03/fakenews-300x171.jpg,"Fragil se positionne depuis sa création en 2002 à la croisée de plusieurs dimensions : Médias, Culture et Éducation A l'origine média culturel et social produit dans la métropole nantaise dans le style Do It Yourself, Fragil accompagne également aujourd'hui des projets d'éducation aux médias et aux pratiques numériques à dimension régionale."
France,FR,France,20,Fawkes News,Decryptage,Outils,7,Actualité,Adultes,,,,15/02/17,France ,"Blog Fawkes News, @Guy_Fawkes_News ",http://www.fawkes-news.com/2017/02/petit-manuel-dautodefense-en-10-points.html,https://1.bp.blogspot.com/-_7jK_Mb2qzE/W-deLNmPyoI/AAAAAAAAWU8/7nm5IsK0n0Y4eEwpSxArNrhDVS6GuJESQCK4BGAYYCw/s400/IA-militaire-Chine-enfants-robots-e1541788091515.jpg,Bo?te ? outils pour d?crypter l'information. On ne manquera pas de voir une certaines d?fiance dans les m?dias traditionnels et les institutions. Mais ?a reste une outil d'?veil ? l'esprit critique.
